Country Name,Country Code,Series,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Latin America & Caribbean (excluding high income),LAC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.44999,14.50889,14.66608,14.69444,14.80232,14.88139,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.4921,14.55487,14.7122,14.73792,14.8442,14.92021,..
Latvia,LVA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.817,15.8314,15.98269,16.16769,16.23089,..,..
Least developed countries: UN classification,LDC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.40688,9.4212,9.45754,9.48157,9.59553,9.63042,..
Lebanon,LBN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Lending category not classified,LNX,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Lesotho,LSO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.92323,11.81651,..,12.13149,..,..,..
Liberia,LBR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Libya,LBY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Liechtenstein,LIE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.63511,14.71424,14.72093,14.90233,14.62087,..,..
Lithuania,LTU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.46251,16.44508,16.49953,16.63731,16.56925,..,..
Low & middle income,LMY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.6263,11.71114,11.84007,11.85101,11.81827,11.8969,..
Low income,LIC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.10655,9.04131,9.0825,..,..,..,..
Lower middle income,LMC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.98988,11.0803,11.26034,11.21245,11.03276,11.06614,..
Luxembourg,LUX,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,14.06477,14.22752,14.25582,14.31532,..,..
"Macao SAR, China",MAC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.06245,14.55335,15.26308,15.64829,15.94867,16.44214,..
Madagascar,MDG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.43931,10.56871,10.41318,..,10.17392,..,..
Malawi,MWI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Malaysia,MYS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.4519,13.66391,13.87247,13.67864,..,..,..
Maldives,MDV,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Mali,MLI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.54131,7.34784,7.40398,7.46106,..,..,..
Malta,MLT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.41316,15.70612,15.84723,16.10407,16.58428,..,..
Marshall Islands,MHL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,10.23932,..
Mauritania,MRT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,9.02561,8.61794,8.58834,9.07599,9.34855,..
Mauritius,MUS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.31831,15.05727,15.09777,15.0566,..,..,..
Mayotte,MYT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Mexico,MEX,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.04315,14.19681,14.63751,14.80978,14.86537,..,..
"Micronesia, Fed. Sts.",FSM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Middle East & North Africa,MEA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.8552,12.98744,13.06198,13.1205,13.18547,..,..
Middle East & North Africa (excluding high income),MNA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.47451,12.62173,12.73702,12.83671,12.91248,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.46297,12.61205,12.72952,12.82813,12.90444,..,..
Middle income,MIC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.07517,12.19226,12.34363,12.35936,12.31942,12.41887,..
Moldova,MDA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.76271,11.63386,11.56715,11.61391,11.53408,11.42658,..
Monaco,MCO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Mongolia,MNG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Montenegro,MNE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,14.89724,15.02132,14.99968,14.9452,..
Morocco,MAR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,13.50344,13.72117,13.95808,..
Mozambique,MOZ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.87003,9.87895,..,9.97402,..,..,..
Myanmar,MMR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,10.67024,..,..
Namibia,NAM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Nauru,NRU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Nepal,NPL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.59261,12.65251,12.6192,12.75613,..,13.15132,..
Netherlands,NLD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,18.0801,18.04483,18.48513,18.55993,..,..
Netherlands Antilles,ANT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
New Caledonia,NCL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
New Zealand,NZL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,18.80342,18.86965,18.1245,18.83857,18.87855,..,..
Nicaragua,NIC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Niger,NER,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,5.91809,6.21518,6.40677,..,..,..
Nigeria,NGA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
North America,NAC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.11944,16.16435,16.25008,16.29613,16.2776,16.346,..
North Macedonia,MKD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.96149,13.32862,..,13.5852,13.50733,..,..
Northern Mariana Islands,MNP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Norway,NOR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.68294,17.78389,17.96913,18.06615,18.12005,..,..
OECD members,OED,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.99908,16.08847,16.22176,16.31277,16.31167,16.32763,..
Oman,OMN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,14.26833,14.63818,14.18214,14.11615,14.3109,..
Other small states,OSS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.80744,11.93238,..,..,..,..,..
Pacific island small states,PSS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Pakistan,PAK,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.29691,7.58429,7.98945,7.93173,8.27594,..,..
Palau,PLW,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Panama,PAN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.70684,12.70657,12.90561,..,..,..,..
Papua New Guinea,PNG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Paraguay,PRY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Peru,PER,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,14.86187,14.99071,..,..,..
Philippines,PHL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.64979,..,..,13.14836,..,..,..
Poland,POL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.98247,..,..,16.08063,16.02599,..,..
Portugal,PRT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.51876,16.44728,16.37409,16.53579,16.72012,..,..
Post-demographic dividend,PST,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.27519,16.30653,16.35352,16.40744,16.37001,16.39402,..
Pre-demographic dividend,PRE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.17522,9.10187,9.02623,9.06742,..,..,..
Puerto Rico,PRI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.36546,16.88338,15.85019,..,16.41977,..,..
Qatar,QAT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.43953,11.99582,12.21823,11.90872,12.02343,12.30768,..
Romania,ROU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,14.63422,14.32149,14.25988,14.275,..,..
Russian Federation,RUS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.77152,15.1291,15.20601,15.02735,15.70724,..,..
Rwanda,RWA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.45512,11.09285,11.49982,11.49604,11.18666,11.23097,..
Samoa,WSM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
San Marino,SMR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,13.04993,13.096,..
Sao Tome and Principe,STP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.57118,12.38349,..,..,..,..,..
Saudi Arabia,SAU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,16.13575,15.63002,15.67513,16.02644,..
Senegal,SEN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.2793,9.27044,..,..,..,8.84401,..
Serbia,SRB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.36068,14.55158,14.64188,14.76615,14.73747,14.65697,..
Seychelles,SYC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.26441,14.19938,14.10878,13.89397,14.14966,14.19275,..
Sierra Leone,SLE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Singapore,SGP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,16.31658,16.44088,16.51959,..,..
Sint Maarten (Dutch part),SXM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.29529,..,..,..,..,..,..
Slovak Republic,SVK,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.80398,14.67734,14.5318,14.48704,14.48058,..,..
Slovenia,SVN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.33702,17.29199,17.50057,17.57206,17.59638,..,..
Small states,SST,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.03992,12.13857,..,..,..,..,..
Solomon Islands,SLB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Somalia,SOM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
South Africa,ZAF,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.99991,..,14.01766,13.7912,13.53531,..,..
South Asia,SAS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.15485,11.26127,11.6263,11.46786,11.081,11.07772,..
South Asia (IDA & IBRD),TSA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.15485,11.26127,11.6263,11.46786,11.081,11.07772,..
South Sudan,SSD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Spain,ESP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.29005,17.47447,17.54028,17.61613,17.75741,..,..
Sri Lanka,LKA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,13.82598,13.90753,14.11107,..,..
St. Kitts and Nevis,KNA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.24853,17.45182,..,..,..,..,..
St. Lucia,LCA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,13.89519,14.34615,14.04967,13.99927,12.93919,..
St. Martin (French part),MAF,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.30531,14.31507,..,..,..,..,..
Sub-Saharan Africa,SSF,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.34941,9.31482,9.24532,9.26595,..,..,..
Sub-Saharan Africa (excluding high income),SSA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.34598,9.31168,9.24229,9.2631,..,..,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.34941,9.31482,9.24532,9.26595,..,..,..
Sudan,SDN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.52345,7.60984,..,..,..,..,..
Suriname,SUR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Sweden,SWE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,18.19613,18.5686,18.83243,19.48234,19.69102,..,..
Switzerland,CHE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,16.19401,16.24938,16.32844,16.41327,..,..
Syrian Arab Republic,SYR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Tajikistan,TJK,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Tanzania,TZA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,8.52868,..,8.0976,..,9.11705,..
Thailand,THA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.71035,..,15.42484,..,..,..,..
Timor-Leste,TLS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Togo,TGO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,12.66498,..,..,..
Tokelau,TKL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Tonga,TON,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Trinidad and Tobago,TTO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Tunisia,TUN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.76702,14.89108,15.12561,..,..,..,..
Turkey,TUR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.92144,17.32137,17.69868,17.98141,18.15805,..,..
Turkmenistan,TKM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,12.93278,..
Turks and Caicos Islands,TCA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,8.76435,..,..,..,..,..
Tuvalu,TUV,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Uganda,UGA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Ukraine,UKR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.86395,..,..,..,..,..,..
United Arab Emirates,ARE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,13.42131,14.3441,..,..,..
United Kingdom,GBR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.48591,17.32866,..,17.49843,17.24805,..,..
United States,USA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.14966,16.19199,16.27448,16.31038,16.28335,..,..
Upper middle income,UMC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.67616,13.83029,13.93749,14.03918,14.19347,14.36332,..
Uruguay,URY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.32092,16.34381,16.63433,16.83564,..,..,..
Uzbekistan,UZB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.70829,11.75932,11.89164,12.05882,12.25256,12.47714,..
Vanuatu,VUT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
"Venezuela, RB",VEN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Vietnam,VNM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
West Bank and Gaza,PSE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.17203,13.20928,13.19561,13.36407,13.4094,13.40559,..
World,WLD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.10923,12.18494,12.30258,12.31239,12.27536,12.34497,..
"Yemen, Rep.",YEM,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Zambia,ZMB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
Zimbabwe,ZWE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,..,..,..,..,..,..,..
